---,PlayMode,Level,Dungeon,Difficulty,PartInformation,PartOfLevel,TitleMessage,SubtitleMessage,NumberOfGarbage,NumberOfChests,NumberOfTraps,NumberOfSpiders,PathNumberMax,PathSpreadValues,TimeToGetHungry,bWaitForEndOfTime,PlayModeOfPart,Secret0Character,Secret0Color,Secret0SubColor,Secret0SloganIndex,Secret1Character,Secret1Color,Secret1SubColor,Secret1SloganIndex
58,"PM_CLASSIC","1","0","0","EPI_LEVEL3","EPI_LEVEL2","","","5","2","1","1","1","(1.000000)","400.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
59,"PM_CLASSIC","1","0","0","EPI_LEVEL3","EPI_LEVEL3","","","6","3","1","1","1","(1.000000)","500.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
60,"PM_CLASSIC","1","0","1","EPI_LEVEL1","EPI_LEVEL1","NSLOCTEXT(""B77F0354428305AD97548DAAB64E3C27 [242367234C72F7F10AA8C4A72B1656ED]"", ""D7C504AB4015C04B71238DA6D743274B"", ""This isn\'t over yet"")","NSLOCTEXT(""B77F0354428305AD97548DAAB64E3C27 [242367234C72F7F10AA8C4A72B1656ED]"", ""7BEEC43141101E613022BF8EC419B2DF"", ""There are more secrets, than you might think of !"")","12","4","0","2","1","(1.000000)","200.000000","True","PM_CLASSIC","E","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1","M","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1"
61,"PM_CLASSIC","1","0","1","EPI_LEVEL2","EPI_LEVEL1","","","10","3","0","2","1","(1.000000)","200.000000","True","PM_CLASSIC","M","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","2","E","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","2"
62,"PM_CLASSIC","1","0","1","EPI_LEVEL2","EPI_LEVEL2","","","8","4","1","1","1","(1.000000)","250.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
63,"PM_CLASSIC","1","0","1","EPI_LEVEL3","EPI_LEVEL1","","","9","3","0","2","1","(1.000000)","200.000000","True","PM_CLASSIC","H","(R=1.000000,G=0.791667,B=0.974728,A=1.000000)","(R=1.000000,G=0.000000,B=0.878697,A=1.000000)","3","O","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1"
64,"PM_CLASSIC","1","0","1","EPI_LEVEL3","EPI_LEVEL2","","","8","3","1","1","1","(1.000000)","250.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
65,"PM_CLASSIC","1","0","1","EPI_LEVEL3","EPI_LEVEL3","","","8","3","1","1","1","(1.000000)","250.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
66,"PM_CLASSIC","1","0","2","EPI_LEVEL1","EPI_LEVEL1","","","13","0","4","2","1","(1.000000)","175.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
67,"PM_CLASSIC","1","0","2","EPI_LEVEL2","EPI_LEVEL1","","","10","4","0","2","1","(1.000000)","175.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
68,"PM_CLASSIC","1","0","2","EPI_LEVEL2","EPI_LEVEL2","","","10","3","1","1","1","(1.000000)","225.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
69,"PM_CLASSIC","1","0","2","EPI_LEVEL3","EPI_LEVEL1","","","9","3","0","2","1","(1.000000)","175.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
70,"PM_CLASSIC","1","0","2","EPI_LEVEL3","EPI_LEVEL2","","","10","3","1","1","1","(1.000000)","225.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
71,"PM_CLASSIC","1","0","2","EPI_LEVEL3","EPI_LEVEL3","","","10","4","1","1","1","(1.000000)","200.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
72,"PM_CLASSIC","1","1","0","EPI_LEVEL1","EPI_LEVEL1","","","8","3","1","2","1","(1.000000)","250.000000","True","PM_CLASSIC","F","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0"
73,"PM_CLASSIC","1","1","0","EPI_LEVEL2","EPI_LEVEL1","","","7","3","1","2","1","(1.000000)","300.000000","True","PM_CLASSIC","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","L","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1"
74,"PM_CLASSIC","1","1","0","EPI_LEVEL2","EPI_LEVEL2","","","8","2","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
75,"PM_CLASSIC","1","1","0","EPI_LEVEL3","EPI_LEVEL1","","","6","2","1","2","1","(1.000000)","300.000000","True","PM_CLASSIC","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","G","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","2"
76,"PM_CLASSIC","1","1","0","EPI_LEVEL3","EPI_LEVEL2","","","7","3","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
77,"PM_CLASSIC","1","1","0","EPI_LEVEL3","EPI_LEVEL3","","","8","2","1","1","1","(1.000000)","400.000000","True","PM_CLASSIC","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","T","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","0"
78,"PM_CLASSIC","1","1","1","EPI_LEVEL1","EPI_LEVEL1","","","12","4","1","2","1","(1.000000)","350.000000","True","PM_CLASSIC","M","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","2","O","(R=1.000000,G=0.791667,B=0.974728,A=1.000000)","(R=1.000000,G=0.000000,B=0.878697,A=1.000000)","3"
79,"PM_CLASSIC","1","1","1","EPI_LEVEL2","EPI_LEVEL1","","","12","4","1","2","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
80,"PM_CLASSIC","1","1","1","EPI_LEVEL2","EPI_LEVEL2","","","8","3","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
81,"PM_CLASSIC","1","1","1","EPI_LEVEL3","EPI_LEVEL1","","","10","2","1","2","1","(1.000000)","350.000000","True","PM_CLASSIC","T","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","T","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","0"
82,"PM_CLASSIC","1","1","1","EPI_LEVEL3","EPI_LEVEL2","","","8","4","1","1","1","(1.000000)","355.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
83,"PM_CLASSIC","1","1","1","EPI_LEVEL3","EPI_LEVEL3","","","8","5","1","1","1","(1.000000)","345.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
84,"PM_CLASSIC","1","1","2","EPI_LEVEL1","EPI_LEVEL1","","","15","4","1","2","1","(1.000000)","330.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
85,"PM_CLASSIC","1","1","2","EPI_LEVEL2","EPI_LEVEL1","","","15","4","1","2","1","(1.000000)","330.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
86,"PM_CLASSIC","1","1","2","EPI_LEVEL2","EPI_LEVEL2","","","8","4","1","1","1","(1.000000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
87,"PM_CLASSIC","1","1","2","EPI_LEVEL3","EPI_LEVEL1","","","4","2","1","2","1","(1.000000)","330.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
88,"PM_CLASSIC","1","1","2","EPI_LEVEL3","EPI_LEVEL2","","","10","4","1","1","1","(1.000000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
89,"PM_CLASSIC","1","1","2","EPI_LEVEL3","EPI_LEVEL3","","","10","4","1","1","1","(1.000000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
90,"PM_CLASSIC","1","2","0","EPI_LEVEL1","EPI_LEVEL1","","","10","4","1","2","2","(0.500000,0.500000)","250.000000","True","PM_CLASSIC","H","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","T","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","1"
91,"PM_CLASSIC","1","2","0","EPI_LEVEL2","EPI_LEVEL1","","","10","3","1","2","2","(0.500000,0.500000)","275.000000","True","PM_CLASSIC","E","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","P","(R=1.000000,G=0.000000,B=0.000000,A=1.000000)","(R=1.000000,G=0.526042,B=0.526042,A=1.000000)","2"
92,"PM_CLASSIC","1","2","0","EPI_LEVEL2","EPI_LEVEL2","","","8","3","1","1","1","(1.000000)","325.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
93,"PM_CLASSIC","1","2","0","EPI_LEVEL3","EPI_LEVEL1","","","8","3","1","2","2","(0.500000,0.500000)","350.000000","True","PM_CLASSIC","N","(R=0.000000,G=0.000000,B=1.000000,A=1.000000)","(R=0.526042,G=0.526042,B=1.000000,A=1.000000)","0","I","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","0"
94,"PM_CLASSIC","1","2","0","EPI_LEVEL3","EPI_LEVEL2","","","6","3","1","1","1","(1.000000)","425.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
95,"PM_CLASSIC","1","2","0","EPI_LEVEL3","EPI_LEVEL3","","","12","4","2","2","1","(1.000000)","475.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
96,"PM_CLASSIC","1","2","1","EPI_LEVEL1","EPI_LEVEL1","","","14","4","1","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
97,"PM_CLASSIC","1","2","1","EPI_LEVEL2","EPI_LEVEL1","","","12","4","0","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","E","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","1","E","(R=0.000000,G=1.000000,B=0.000000,A=1.000000)","(R=0.526042,G=1.000000,B=0.526042,A=1.000000)","1"
98,"PM_CLASSIC","1","2","1","EPI_LEVEL2","EPI_LEVEL2","","","12","5","1","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
99,"PM_CLASSIC","1","2","1","EPI_LEVEL3","EPI_LEVEL1","","","8","2","1","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
100,"PM_CLASSIC","1","2","1","EPI_LEVEL3","EPI_LEVEL2","","","12","4","0","1","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
101,"PM_CLASSIC","1","2","1","EPI_LEVEL3","EPI_LEVEL3","","","12","4","1","2","1","(1.000000)","350.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
102,"PM_CLASSIC","1","2","2","EPI_LEVEL1","EPI_LEVEL1","","","15","5","1","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
103,"PM_CLASSIC","1","2","2","EPI_LEVEL2","EPI_LEVEL1","","","15","5","0","2","2","(0.500000,0.500000)","400.000000","True","PM_CLASSIC","R","(R=1.000000,G=0.018907,B=0.000000,A=1.000000)","(R=1.000000,G=0.500000,B=0.541059,A=1.000000)","3","R","(R=1.000000,G=0.018907,B=0.000000,A=1.000000)","(R=1.000000,G=0.500000,B=0.541059,A=1.000000)","3"
104,"PM_CLASSIC","1","2","2","EPI_LEVEL2","EPI_LEVEL2","","","15","5","1","1","1","(1.000000)","500.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
105,"PM_CLASSIC","1","2","2","EPI_LEVEL3","EPI_LEVEL1","","","15","5","1","2","2","(0.500000,0.500000)","320.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
106,"PM_CLASSIC","1","2","2","EPI_LEVEL3","EPI_LEVEL2","","","15","5","1","1","1","(1.000000)","400.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
107,"PM_CLASSIC","1","2","2","EPI_LEVEL3","EPI_LEVEL3","","","15","5","1","2","1","(1.000000)","500.000000","True","PM_CLASSIC","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
108,"PM_DEFAULT","0","0","0","EPI_LEVEL1","EPI_LEVEL1","NSLOCTEXT(""3AE8E1A34A3E64AD9A9A9E925A043EDA [242367234C72F7F10AA8C4A72B1656ED]"", ""0250AE9E4299FE05F703E18484ACDCD0"", ""asdasd"")","NSLOCTEXT(""3AE8E1A34A3E64AD9A9A9E925A043EDA [242367234C72F7F10AA8C4A72B1656ED]"", ""25335B714CC151FD7BBF4BAB594B2FEB"", ""aASSFASFASF"")","5","2","0","2","1","(1.000000)","400.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
109,"PM_DEFAULT","0","0","0","EPI_LEVEL2","EPI_LEVEL1","","","4","2","0","2","1","(1.000000)","400.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
110,"PM_DEFAULT","0","0","0","EPI_LEVEL2","EPI_LEVEL2","","","4","2","1","1","1","(1.000000)","350.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
111,"PM_DEFAULT","0","0","0","EPI_LEVEL3","EPI_LEVEL1","","","4","2","0","2","1","(1.000000)","400.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
112,"PM_DEFAULT","0","0","0","EPI_LEVEL3","EPI_LEVEL2","","","4","2","0","1","1","(1.000000)","320.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
113,"PM_DEFAULT","0","0","0","EPI_LEVEL3","EPI_LEVEL3","","","3","2","1","1","1","(1.000000)","350.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
114,"PM_DEFAULT","0","0","1","EPI_LEVEL1","EPI_LEVEL1","","","7","3","0","2","1","(1.000000)","350.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
115,"PM_DEFAULT","0","0","1","EPI_LEVEL2","EPI_LEVEL1","","","5","3","0","2","1","(1.000000)","300.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
116,"PM_DEFAULT","0","0","1","EPI_LEVEL2","EPI_LEVEL2","","","6","4","1","1","1","(1.000000)","320.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
117,"PM_DEFAULT","0","0","1","EPI_LEVEL3","EPI_LEVEL1","","","7","3","0","2","1","(1.000000)","320.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
118,"PM_DEFAULT","0","0","1","EPI_LEVEL3","EPI_LEVEL2","","","8","3","1","1","1","(1.000000)","310.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
119,"PM_DEFAULT","0","0","1","EPI_LEVEL3","EPI_LEVEL3","","","9","4","1","1","1","(1.000000)","300.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
120,"PM_DEFAULT","0","0","2","EPI_LEVEL1","EPI_LEVEL1","","","9","4","0","2","1","(1.000000)","350.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
121,"PM_DEFAULT","0","0","2","EPI_LEVEL2","EPI_LEVEL1","","","0","0","0","2","1","(1.000000)","180.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
122,"PM_DEFAULT","0","0","2","EPI_LEVEL2","EPI_LEVEL2","","","12","4","1","1","1","(1.000000)","310.000000","False","PM_DEFAULT","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0","","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","(R=0.000000,G=0.000000,B=0.000000,A=0.000000)","0"
